display  I           wgl_disp.c:246  display_pixel_format             [   0.16091] Single-buffer: yes
display  I           wgl_disp.c:250  display_pixel_format             [   0.16091] Swap method: undefined
display  I           wgl_disp.c:251  display_pixel_format             [   0.16092] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16093] Depth buffer: 0 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16094] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16095] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16096] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16097] Single Buffer requirement not met.
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16098] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16098] Decoding visual no. 7...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16105] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16106] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16107] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16107] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16108] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16109] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16110] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16110] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16111] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16112] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16113] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16114] Decoding visual no. 8...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16121] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16122] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16122] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16123] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16124] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16125] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16126] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16126] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16127] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16128] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16129] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16130] Decoding visual no. 9...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16137] Decoding:
